alpha,cl,cd,cm,name,re,ma,img
8.0,1.0313,0.017230000000000002,-0.0281,ag04,500000,0.0,ag04_sdf_500000_0.0_8.jpg
9.0,1.1149,0.02288,-0.0247,ag04,500000,0.0,ag04_sdf_500000_0.0_9.jpg
10.0,1.1766,0.031639999999999995,-0.0205,ag04,500000,0.0,ag04_sdf_500000_0.0_10.jpg
11.0,1.1907,0.0437,-0.0148,ag04,500000,0.0,ag04_sdf_500000_0.0_11.jpg
12.0,1.1267,0.06634,-0.0261,ag04,500000,0.0,ag04_sdf_500000_0.0_12.jpg
-6.0,-0.4728,0.02395,-0.0393,ag08,500000,0.0,ag08_sdf_500000_0.0_-6.jpg
-5.0,-0.3724,0.015,-0.0388,ag08,500000,0.0,ag08_sdf_500000_0.0_-5.jpg
-4.0,-0.2672,0.01107,-0.0371,ag08,500000,0.0,ag08_sdf_500000_0.0_-4.jpg
-3.0,-0.163,0.008759999999999999,-0.0353,ag08,500000,0.0,ag08_sdf_500000_0.0_-3.jpg
-2.0,-0.0591,0.0076,-0.0338,ag08,500000,0.0,ag08_sdf_500000_0.0_-2.jpg
-1.0,0.0745,0.00609,-0.0394,ag08,500000,0.0,ag08_sdf_500000_0.0_-1.jpg
0.0,0.2055,0.00458,-0.0421,ag08,500000,0.0,ag08_sdf_500000_0.0_0.jpg
1.0,0.3064,0.00512,-0.0382,ag08,500000,0.0,ag08_sdf_500000_0.0_1.jpg
2.0,0.4119,0.0060799999999999995,-0.0364,ag08,500000,0.0,ag08_sdf_500000_0.0_2.jpg
3.0,0.5193,0.00718,-0.0355,ag08,500000,0.0,ag08_sdf_500000_0.0_3.jpg
4.0,0.6273,0.0083,-0.0349,ag08,500000,0.0,ag08_sdf_500000_0.0_4.jpg
5.0,0.734,0.00968,-0.0342,ag08,500000,0.0,ag08_sdf_500000_0.0_5.jpg
6.0,0.8378,0.011729999999999999,-0.0333,ag08,500000,0.0,ag08_sdf_500000_0.0_6.jpg
7.0,0.9373,0.014969999999999999,-0.0314,ag08,500000,0.0,ag08_sdf_500000_0.0_7.jpg
8.0,1.0292,0.019540000000000002,-0.0286,ag08,500000,0.0,ag08_sdf_500000_0.0_8.jpg
9.0,1.1082,0.02706,-0.0247,ag08,500000,0.0,ag08_sdf_500000_0.0_9.jpg
10.0,1.1397,0.04198,-0.0188,ag08,500000,0.0,ag08_sdf_500000_0.0_10.jpg
-3.0,-0.1628,0.00954,-0.0328,ag09,500000,0.0,ag09_sdf_500000_0.0_-3.jpg
-2.0,-0.0545,0.00801,-0.0317,ag09,500000,0.0,ag09_sdf_500000_0.0_-2.jpg
-1.0,0.0509,0.00717,-0.0303,ag09,500000,0.0,ag09_sdf_500000_0.0_-1.jpg
0.0,0.1887,0.00447,-0.0359,ag09,500000,0.0,ag09_sdf_500000_0.0_0.jpg
1.0,0.2888,0.0050799999999999994,-0.0317,ag09,500000,0.0,ag09_sdf_500000_0.0_1.jpg
2.0,0.3952,0.00611,-0.03,ag09,500000,0.0,ag09_sdf_500000_0.0_2.jpg
3.0,0.5037,0.00725,-0.0294,ag09,500000,0.0,ag09_sdf_500000_0.0_3.jpg
4.0,0.6126,0.00838,-0.029,ag09,500000,0.0,ag09_sdf_500000_0.0_4.jpg
5.0,0.7205,0.00972,-0.0286,ag09,500000,0.0,ag09_sdf_500000_0.0_5.jpg
6.0,0.8247,0.012209999999999999,-0.0278,ag09,500000,0.0,ag09_sdf_500000_0.0_6.jpg
7.0,0.9249,0.01587,-0.026,ag09,500000,0.0,ag09_sdf_500000_0.0_7.jpg
8.0,1.0176,0.02113,-0.0235,ag09,500000,0.0,ag09_sdf_500000_0.0_8.jpg
-4.0,-0.2881,0.013940000000000001,-0.031,ag10,500000,0.0,ag10_sdf_500000_0.0_-4.jpg
-3.0,-0.1765,0.0109,-0.0305,ag10,500000,0.0,ag10_sdf_500000_0.0_-3.jpg
-2.0,-0.0652,0.00851,-0.0299,ag10,500000,0.0,ag10_sdf_500000_0.0_-2.jpg
-1.0,0.0449,0.00732,-0.0292,ag10,500000,0.0,ag10_sdf_500000_0.0_-1.jpg
0.0,0.1554,0.004529999999999999,-0.0291,ag10,500000,0.0,ag10_sdf_500000_0.0_0.jpg
1.0,0.271,0.00517,-0.028,ag10,500000,0.0,ag10_sdf_500000_0.0_1.jpg
2.0,0.3775,0.006640000000000001,-0.0266,ag10,500000,0.0,ag10_sdf_500000_0.0_2.jpg
3.0,0.4881,0.007679999999999999,-0.0263,ag10,500000,0.0,ag10_sdf_500000_0.0_3.jpg
4.0,0.5984,0.00877,-0.026,ag10,500000,0.0,ag10_sdf_500000_0.0_4.jpg
5.0,0.7075,0.01015,-0.0257,ag10,500000,0.0,ag10_sdf_500000_0.0_5.jpg
6.0,0.8142,0.01238,-0.0251,ag10,500000,0.0,ag10_sdf_500000_0.0_6.jpg
7.0,0.9178,0.01548,-0.0238,ag10,500000,0.0,ag10_sdf_500000_0.0_7.jpg
8.0,1.0128,0.02075,-0.0216,ag10,500000,0.0,ag10_sdf_500000_0.0_8.jpg
9.0,1.0953,0.028960000000000003,-0.0187,ag10,500000,0.0,ag10_sdf_500000_0.0_9.jpg
10.0,1.0813,0.05371,-0.0168,ag10,500000,0.0,ag10_sdf_500000_0.0_10.jpg
11.0,0.9689,0.1019,-0.0542,ag10,500000,0.0,ag10_sdf_500000_0.0_11.jpg
-1.0,0.1269,0.00896,-0.0402,ag11,500000,0.0,ag11_sdf_500000_0.0_-1.jpg
1.0,0.3321,0.00554,-0.034,ag11,500000,0.0,ag11_sdf_500000_0.0_1.jpg
2.0,0.4404,0.00635,-0.0329,ag11,500000,0.0,ag11_sdf_500000_0.0_2.jpg
5.0,0.7643,0.00981,-0.0317,ag11,500000,0.0,ag11_sdf_500000_0.0_5.jpg
6.0,0.8699,0.011359999999999999,-0.0312,ag11,500000,0.0,ag11_sdf_500000_0.0_6.jpg
7.0,0.9734,0.01318,-0.0304,ag11,500000,0.0,ag11_sdf_500000_0.0_7.jpg
8.0,1.0732,0.01546,-0.0291,ag11,500000,0.0,ag11_sdf_500000_0.0_8.jpg
9.0,1.1672,0.0185,-0.0272,ag11,500000,0.0,ag11_sdf_500000_0.0_9.jpg
10.0,1.258,0.021509999999999998,-0.0252,ag11,500000,0.0,ag11_sdf_500000_0.0_10.jpg
11.0,1.3494,0.02351,-0.0238,ag11,500000,0.0,ag11_sdf_500000_0.0_11.jpg
12.0,1.4236,0.0274,-0.0209,ag11,500000,0.0,ag11_sdf_500000_0.0_12.jpg
13.0,1.4695,0.033339999999999995,-0.0161,ag11,500000,0.0,ag11_sdf_500000_0.0_13.jpg
14.0,1.442,0.04608,-0.014,ag11,500000,0.0,ag11_sdf_500000_0.0_14.jpg
15.0,1.3684,0.07655,-0.0334,ag11,500000,0.0,ag11_sdf_500000_0.0_15.jpg
16.0,1.2676,0.11268,-0.0519,ag11,500000,0.0,ag11_sdf_500000_0.0_16.jpg
17.0,1.1827,0.14895,-0.0706,ag11,500000,0.0,ag11_sdf_500000_0.0_17.jpg
18.0,1.1057,0.1912,-0.0944,ag11,500000,0.0,ag11_sdf_500000_0.0_18.jpg
-10.0,-0.5949,0.12423,0.0278,ag12,500000,0.0,ag12_sdf_500000_0.0_-10.jpg
-9.0,-0.5746,0.10880999999999999,0.0199,ag12,500000,0.0,ag12_sdf_500000_0.0_-9.jpg
-4.0,-0.242,0.01202,-0.0448,ag12,500000,0.0,ag12_sdf_500000_0.0_-4.jpg
-3.0,-0.1337,0.008620000000000001,-0.0436,ag12,500000,0.0,ag12_sdf_500000_0.0_-3.jpg
-2.0,-0.0261,0.006840000000000001,-0.0432,ag12,500000,0.0,ag12_sdf_500000_0.0_-2.jpg
-1.0,0.1105,0.00563,-0.0489,ag12,500000,0.0,ag12_sdf_500000_0.0_-1.jpg
0.0,0.2252,0.00464,-0.0475,ag12,500000,0.0,ag12_sdf_500000_0.0_0.jpg
1.0,0.3303,0.005370000000000001,-0.045,ag12,500000,0.0,ag12_sdf_500000_0.0_1.jpg
2.0,0.4387,0.00619,-0.0439,ag12,500000,0.0,ag12_sdf_500000_0.0_2.jpg
3.0,0.5477,0.00713,-0.0432,ag12,500000,0.0,ag12_sdf_500000_0.0_3.jpg
4.0,0.6561,0.00825,-0.0427,ag12,500000,0.0,ag12_sdf_500000_0.0_4.jpg
5.0,0.7632,0.00969,-0.0421,ag12,500000,0.0,ag12_sdf_500000_0.0_5.jpg
6.0,0.8683,0.01155,-0.0413,ag12,500000,0.0,ag12_sdf_500000_0.0_6.jpg
7.0,0.9692,0.01444,-0.0399,ag12,500000,0.0,ag12_sdf_500000_0.0_7.jpg
8.0,1.0633,0.01879,-0.0373,ag12,500000,0.0,ag12_sdf_500000_0.0_8.jpg
9.0,1.1365,0.027630000000000002,-0.0332,ag12,500000,0.0,ag12_sdf_500000_0.0_9.jpg
10.0,1.1854,0.03863,-0.0286,ag12,500000,0.0,ag12_sdf_500000_0.0_10.jpg
11.0,1.1406,0.056839999999999995,-0.0286,ag12,500000,0.0,ag12_sdf_500000_0.0_11.jpg
12.0,1.059,0.09642,-0.0597,ag12,500000,0.0,ag12_sdf_500000_0.0_12.jpg
-10.0,-0.5911,0.12546,0.0298,ag13,500000,0.0,ag13_sdf_500000_0.0_-10.jpg
-9.0,-0.572,0.11076,0.0236,ag13,500000,0.0,ag13_sdf_500000_0.0_-9.jpg
-8.0,-0.5537,0.09557,0.0156,ag13,500000,0.0,ag13_sdf_500000_0.0_-8.jpg
-3.0,-0.1228,0.009170000000000001,-0.0456,ag13,500000,0.0,ag13_sdf_500000_0.0_-3.jpg
-2.0,-0.0146,0.0072,-0.0449,ag13,500000,0.0,ag13_sdf_500000_0.0_-2.jpg
-1.0,0.1175,0.00566,-0.05,ag13,500000,0.0,ag13_sdf_500000_0.0_-1.jpg
0.0,0.2398,0.00454,-0.0504,ag13,500000,0.0,ag13_sdf_500000_0.0_0.jpg
1.0,0.343,0.00527,-0.0474,ag13,500000,0.0,ag13_sdf_500000_0.0_1.jpg
2.0,0.4506,0.00615,-0.046,ag13,500000,0.0,ag13_sdf_500000_0.0_2.jpg
3.0,0.559,0.00715,-0.0453,ag13,500000,0.0,ag13_sdf_500000_0.0_3.jpg
4.0,0.6669,0.00836,-0.0447,ag13,500000,0.0,ag13_sdf_500000_0.0_4.jpg
5.0,0.7737,0.00982,-0.0441,ag13,500000,0.0,ag13_sdf_500000_0.0_5.jpg
6.0,0.8787,0.011640000000000001,-0.0432,ag13,500000,0.0,ag13_sdf_500000_0.0_6.jpg
7.0,0.9805,0.014180000000000002,-0.0419,ag13,500000,0.0,ag13_sdf_500000_0.0_7.jpg
8.0,1.0738,0.01875,-0.0392,ag13,500000,0.0,ag13_sdf_500000_0.0_8.jpg
9.0,1.107,0.01529,-0.0302,ag13,500000,0.0,ag13_sdf_500000_0.0_9.jpg
10.0,1.1375,0.027569999999999997,-0.0238,ag13,500000,0.0,ag13_sdf_500000_0.0_10.jpg
11.0,1.0616,0.04525,-0.0208,ag13,500000,0.0,ag13_sdf_500000_0.0_11.jpg
12.0,1.0478,0.10442,-0.0656,ag13,500000,0.0,ag13_sdf_500000_0.0_12.jpg
-5.0,-0.3337,0.03377,-0.0445,ag14,500000,0.0,ag14_sdf_500000_0.0_-5.jpg
-2.0,-0.0044,0.007790000000000001,-0.0456,ag14,500000,0.0,ag14_sdf_500000_0.0_-2.jpg
-1.0,0.1185,0.00596,-0.049,ag14,500000,0.0,ag14_sdf_500000_0.0_-1.jpg
0.0,0.2517,0.00446,-0.0522,ag14,500000,0.0,ag14_sdf_500000_0.0_0.jpg
1.0,0.3534,0.0052,-0.0486,ag14,500000,0.0,ag14_sdf_500000_0.0_1.jpg
2.0,0.46,0.00619,-0.0471,ag14,500000,0.0,ag14_sdf_500000_0.0_2.jpg
3.0,0.568,0.007240000000000001,-0.0463,ag14,500000,0.0,ag14_sdf_500000_0.0_3.jpg
4.0,0.6759,0.00843,-0.0457,ag14,500000,0.0,ag14_sdf_500000_0.0_4.jpg
5.0,0.7825,0.009859999999999999,-0.045,ag14,500000,0.0,ag14_sdf_500000_0.0_5.jpg
6.0,0.8876,0.01163,-0.0441,ag14,500000,0.0,ag14_sdf_500000_0.0_6.jpg
7.0,0.9898,0.014,-0.0429,ag14,500000,0.0,ag14_sdf_500000_0.0_7.jpg
8.0,1.0767,0.02058,-0.0393,ag14,500000,0.0,ag14_sdf_500000_0.0_8.jpg
9.0,1.1629,0.026019999999999998,-0.0363,ag14,500000,0.0,ag14_sdf_500000_0.0_9.jpg
10.0,1.2132,0.03689,-0.0319,ag14,500000,0.0,ag14_sdf_500000_0.0_10.jpg
11.0,1.1754,0.05449,-0.0298,ag14,500000,0.0,ag14_sdf_500000_0.0_11.jpg
12.0,1.078,0.09997,-0.0646,ag14,500000,0.0,ag14_sdf_500000_0.0_12.jpg
13.0,0.8185,0.13195,-0.0602,ag14,500000,0.0,ag14_sdf_500000_0.0_13.jpg
14.0,0.7427,0.15888,-0.0678,ag14,500000,0.0,ag14_sdf_500000_0.0_14.jpg
-9.0,-0.5753,0.10076,0.0122,ag16,500000,0.0,ag16_sdf_500000_0.0_-9.jpg
-5.0,-0.3438,0.01377,-0.0487,ag16,500000,0.0,ag16_sdf_500000_0.0_-5.jpg
-4.0,-0.2388,0.00992,-0.0473,ag16,500000,0.0,ag16_sdf_500000_0.0_-4.jpg
-3.0,-0.1321,0.0077599999999999995,-0.0465,ag16,500000,0.0,ag16_sdf_500000_0.0_-3.jpg
-2.0,0.0027,0.0066099999999999996,-0.0521,ag16,500000,0.0,ag16_sdf_500000_0.0_-2.jpg
0.0,0.2357,0.00485,-0.0515,ag16,500000,0.0,ag16_sdf_500000_0.0_0.jpg
1.0,0.3436,0.0054399999999999995,-0.0498,ag16,500000,0.0,ag16_sdf_500000_0.0_1.jpg
2.0,0.4529,0.0061600000000000005,-0.0489,ag16,500000,0.0,ag16_sdf_500000_0.0_2.jpg
3.0,0.5622,0.00702,-0.0483,ag16,500000,0.0,ag16_sdf_500000_0.0_3.jpg
4.0,0.6706,0.00815,-0.0477,ag16,500000,0.0,ag16_sdf_500000_0.0_4.jpg
5.0,0.7776,0.00958,-0.0472,ag16,500000,0.0,ag16_sdf_500000_0.0_5.jpg
6.0,0.8822,0.01145,-0.0464,ag16,500000,0.0,ag16_sdf_500000_0.0_6.jpg
7.0,0.9827,0.01415,-0.045,ag16,500000,0.0,ag16_sdf_500000_0.0_7.jpg
8.0,1.0749,0.018609999999999998,-0.0421,ag16,500000,0.0,ag16_sdf_500000_0.0_8.jpg
10.0,1.2021,0.036180000000000004,-0.0324,ag16,500000,0.0,ag16_sdf_500000_0.0_10.jpg
11.0,1.1751,0.05097,-0.0264,ag16,500000,0.0,ag16_sdf_500000_0.0_11.jpg
12.0,1.1023,0.08038,-0.0471,ag16,500000,0.0,ag16_sdf_500000_0.0_12.jpg
-10.0,-0.576,0.12280999999999999,0.0232,ag17,500000,0.0,ag17_sdf_500000_0.0_-10.jpg
-9.0,-0.5555,0.10745,0.0149,ag17,500000,0.0,ag17_sdf_500000_0.0_-9.jpg
-8.0,-0.5376,0.09116,0.0058,ag17,500000,0.0,ag17_sdf_500000_0.0_-8.jpg
-4.0,-0.2254,0.011890000000000001,-0.049,ag17,500000,0.0,ag17_sdf_500000_0.0_-4.jpg
-3.0,-0.1186,0.0086,-0.0477,ag17,500000,0.0,ag17_sdf_500000_0.0_-3.jpg
-2.0,0.0042,0.006809999999999999,-0.0509,ag17,500000,0.0,ag17_sdf_500000_0.0_-2.jpg
-1.0,0.147,0.00566,-0.0574,ag17,500000,0.0,ag17_sdf_500000_0.0_-1.jpg
0.0,0.249,0.00474,-0.0532,ag17,500000,0.0,ag17_sdf_500000_0.0_0.jpg
1.0,0.3555,0.00532,-0.0512,ag17,500000,0.0,ag17_sdf_500000_0.0_1.jpg
2.0,0.4638,0.0060799999999999995,-0.05,ag17,500000,0.0,ag17_sdf_500000_0.0_2.jpg
3.0,0.5722,0.00707,-0.0492,ag17,500000,0.0,ag17_sdf_500000_0.0_3.jpg
4.0,0.68,0.00828,-0.0486,ag17,500000,0.0,ag17_sdf_500000_0.0_4.jpg
5.0,0.7868,0.0097,-0.048,ag17,500000,0.0,ag17_sdf_500000_0.0_5.jpg
6.0,0.8914,0.01153,-0.0472,ag17,500000,0.0,ag17_sdf_500000_0.0_6.jpg
7.0,0.9928,0.01401,-0.0459,ag17,500000,0.0,ag17_sdf_500000_0.0_7.jpg
8.0,1.0852,0.01852,-0.043,ag17,500000,0.0,ag17_sdf_500000_0.0_8.jpg
9.0,1.1603,0.02615,-0.0388,ag17,500000,0.0,ag17_sdf_500000_0.0_9.jpg
10.0,1.2156,0.03582,-0.0337,ag17,500000,0.0,ag17_sdf_500000_0.0_10.jpg
11.0,1.1871,0.0512,-0.0279,ag17,500000,0.0,ag17_sdf_500000_0.0_11.jpg
12.0,1.1115,0.08312,-0.0515,ag17,500000,0.0,ag17_sdf_500000_0.0_12.jpg
-6.0,-0.4244,0.05085,-0.036,ag18,500000,0.0,ag18_sdf_500000_0.0_-6.jpg
-5.0,-0.3275,0.03318,-0.0484,ag18,500000,0.0,ag18_sdf_500000_0.0_-5.jpg
-3.0,-0.106,0.00949,-0.0493,ag18,500000,0.0,ag18_sdf_500000_0.0_-3.jpg
-2.0,0.0048,0.007390000000000001,-0.0492,ag18,500000,0.0,ag18_sdf_500000_0.0_-2.jpg
-1.0,0.154,0.00566,-0.0578,ag18,500000,0.0,ag18_sdf_500000_0.0_-1.jpg
0.0,0.2619,0.00464,-0.055,ag18,500000,0.0,ag18_sdf_500000_0.0_0.jpg
1.0,0.3671,0.0052,-0.0525,ag18,500000,0.0,ag18_sdf_500000_0.0_1.jpg
2.0,0.4745,0.00601,-0.051,ag18,500000,0.0,ag18_sdf_500000_0.0_2.jpg
3.0,0.5818,0.00715,-0.0501,ag18,500000,0.0,ag18_sdf_500000_0.0_3.jpg
4.0,0.6893,0.008409999999999999,-0.0495,ag18,500000,0.0,ag18_sdf_500000_0.0_4.jpg
5.0,0.7958,0.00985,-0.0489,ag18,500000,0.0,ag18_sdf_500000_0.0_5.jpg
6.0,0.9004,0.01166,-0.048,ag18,500000,0.0,ag18_sdf_500000_0.0_6.jpg
7.0,1.0022,0.01404,-0.0466,ag18,500000,0.0,ag18_sdf_500000_0.0_7.jpg
8.0,1.0952,0.018430000000000002,-0.0439,ag18,500000,0.0,ag18_sdf_500000_0.0_8.jpg
9.0,1.1735,0.02543,-0.0401,ag18,500000,0.0,ag18_sdf_500000_0.0_9.jpg
10.0,1.2297,0.03522,-0.035,ag18,500000,0.0,ag18_sdf_500000_0.0_10.jpg
11.0,1.2059,0.050480000000000004,-0.0293,ag18,500000,0.0,ag18_sdf_500000_0.0_11.jpg
12.0,1.1225,0.08556,-0.0555,ag18,500000,0.0,ag18_sdf_500000_0.0_12.jpg
15.0,0.7309,0.17407999999999998,-0.0721,ag18,500000,0.0,ag18_sdf_500000_0.0_15.jpg
